current_model,base_model,base_model_relation
cognitivecomputations/WestLake-7B-v2-laser,senseable/WestLake-7B-v2,unknown_annotated
CohereForAI/c4ai-command-r-v01-4bit,CohereForAI/c4ai-command-r-v01,unknown_annotated
cointegrated/rubert-tiny2,cointegrated/rubert-tiny,unknown_annotated
CompVis/stable-diffusion-safety-checker,openai/clip-vit-large-patch14,unknown_annotated
CompVis/stable-diffusion-v1-2,CompVis/stable-diffusion-v1-1,unknown_annotated
CompVis/stable-diffusion-v1-3,CompVis/stable-diffusion-v1-2,unknown_annotated
CompVis/stable-diffusion-v1-4,CompVis/stable-diffusion-v1-2,unknown_annotated
cookinai/CatMacaroni-Slerp,rishiraj/CatPPT-base,unknown_annotated
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,unknown_annotated
crestf411/gemma2-9B-sunfall-v0.5.2,google/gemma-2-9b-it,unknown_annotated
crestf411/nemo-sunfall-v0.6.1,mistralai/Mistral-Nemo-Instruct-2407,unknown_annotated
Danielbrdz/Barcenas-Llama3-8b-ORPO,VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,unknown_annotated
databricks/dolly-v2-3b,EleutherAI/pythia-2.8b,unknown_annotated
davidkim205/Rhea-72b-v0.5,abacusai/Smaug-72B-v0.1,unknown_annotated
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-1.3b-base,unknown_annotated
deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-ai/deepseek-coder-6.7b-base,unknown_annotated
deepseek-ai/deepseek-math-7b-base,deepseek-ai/deepseek-coder-7b-base-v1.5,unknown_annotated
defog/llama-3-sqlcoder-8b,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
defog/sqlcoder-7b-2,meta-llama/CodeLlama-7b-hf,unknown_annotated
diffnamehard/Mistral-CatMacaroni-slerp-uncensored-7B,diffnamehard/Mistral-CatMacaroni-slerp-7B,unknown_annotated
digiplay/AbsoluteReality_v1.0_diffusers,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AbsoluteReality_v1.8.1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AgainMix_v2.0,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AI-infinity-V1-fp16,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AnalogMadness-realistic-model-v4,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AnalogMadness-realistic-model-v5,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AnalogMadness-realistic-model-v6,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AnalogMadness-realistic-model-v7,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/ARRealVX1.1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/AsianBrmBeautyrealmix_v2.0,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/aurorafantasy_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/Blazarot_blazaroshi,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/BreakDro_i1464,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/calicomixreal_v2.0_diffusers,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/chrysanthemumMix_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/CleanLinearMix_nsfw,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/COCOtiFaMix_v2,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/fCAnimeMix_v2,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/fCAnimeMix_v4,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/HadrianDelice_DeliceV1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/insaneRealistic_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/majicMIX_realistic_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/majicMIX_realistic_v5,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/majicMIX_realistic_v6,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/majicMIX_realistic_v7,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/majicMIX_sombre_v2,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/MengX_Mix_Real_v3,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/MGM,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/MilkyWonderland_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/NextPhoto_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/Noosphere_v4,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/OnlyReal-Black-Mix,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/Perfect_Gap_Blend_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/PerfectDeliberate-Anime_v2,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/perfectlevel10,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/perfectLewdFantasy_v1.01,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/Photon_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/PolyMorphMix,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/RealCartoon3D_v6,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/Realisian_v6,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/realspice_v2,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/rRealism_v1.0_riiwa,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/VoidnoiseCore_R0829,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/xiaomeige_outlineColor_v10,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/xxgSl526_v1,runwayml/stable-diffusion-v1-5,unknown_annotated
digiplay/ZHMix-Dramatic-v2.0,runwayml/stable-diffusion-v1-5,unknown_annotated
distilbert/distilbert-base-uncased-finetuned-sst-2-english,distilbert/distilbert-base-uncased,unknown_annotated
dmis-lab/biobert-large-cased-v1.1-squad,EleutherAI/gpt-neo-2.7B,unknown_annotated
dreamgen-preview/opus-v1.2-llama-3-8b-base-run3.4-epoch2,meta-llama/Meta-Llama-3-8B,unknown_annotated
DRXD1000/Phoenix-7B,LeoLM/leo-mistral-hessianai-7b,unknown_annotated
Edgerunners/Lyraea-large-llama-3.1,meta-llama/Llama-3.1-8B,unknown_annotated
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-3000total-bf16,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Elizezen/Antler-7B,stabilityai/japanese-stablelm-instruct-gamma-7b,unknown_annotated
Elizezen/Himeyuri-v0.1-12B,mistralai/Mistral-Nemo-Instruct-2407,unknown_annotated
elyza/Llama-3-ELYZA-JP-8B,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Envoid/Mistral-Small-NovusKyver,mistralai/Mistral-Small-Instruct-2409,unknown_annotated
EonNextPlatform/faster-distil-whisper-large-v2,distil-whisper/distil-large-v2,unknown_annotated
Epiculous/Crimson_Dawn-v0.2,mistralai/Mistral-Nemo-Base-2407,unknown_annotated
eren23/dpo-binarized-NeuralTrix-7B,CultriX/NeuralTrix-7B-dpo,unknown_annotated
eren23/dpo-binarized-NeutrixOmnibe-7B,Kukedlc/NeuTrixOmniBe-7B-model-remix,unknown_annotated
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,eren23/ogno-monarch-jaskier-merge-7b,unknown_annotated
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO-v2,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,unknown_annotated
facebook/bart-large-mnli,facebook/bart-large,unknown_annotated
facebook/hubert-large-ls960-ft,facebook/hubert-large-ll60k,unknown_annotated
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50,unknown_annotated
facebook/mms-1b-all,facebook/mms-1b,unknown_annotated
FacebookAI/xlm-roberta-large-finetuned-conll03-english,FacebookAI/xlm-roberta-large-finetuned-conll03-english,unknown_annotated
failspy/llama-3-70B-Instruct-abliterated,meta-llama/Meta-Llama-3-70B-Instruct,unknown_annotated
failspy/Llama-3-8B-Instruct-MopeyMule,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Falconsai/nsfw_image_detection,google/vit-base-patch16-224-in21k,unknown_annotated
fblgit/una-cybertron-7b-v2-bf16,mistralai/Mistral-7B-v0.1,unknown_annotated
flemmingmiguel/MBX-7B-v3,flemmingmiguel/MBX-7B,unknown_annotated
FPHam/L3-8B-Everything-COT,meta-llama/Meta-Llama-3-8B,unknown_annotated
FPHam/Sydney_Overthinker_13b_HF,FPHam/Free_Sydney_13b_HF,unknown_annotated
FuseAI/FuseChat-Llama-3.1-8B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,unknown_annotated
fxmarty/sshleifer-tiny-mbart-onnx,sshleifer/tiny-mbart,unknown_annotated
ghost-x/ghost-8b-beta,meta-llama/Meta-Llama-3-8B,unknown_annotated
gilf/french-camembert-postag-model,almanach/camembert-base,unknown_annotated
google/flan-t5-base,google/t5-v1_1-base,unknown_annotated
google/flan-t5-large,google/t5-v1_1-large,unknown_annotated
google/flan-t5-small,google/t5-v1_1-small,unknown_annotated
google/gemma-1.1-2b-it,google/gemma-2b,unknown_annotated
google/gemma-2b-it,google/gemma-2b,unknown_annotated
gradientai/Llama-3-8B-Instruct-262k,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
gradientai/Llama-3-8B-Instruct-Gradient-1048k,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
GreenNode/GreenNode-mini-7B-multilingual-v1olet,v1olet/v1olet_marcoroni-go-bruins-merge-7B,unknown_annotated
h2oai/h2o-danube3-500m-chat,h2oai/h2o-danube3-500m-base,unknown_annotated
hama-jp/gemma-2-27b,google/gemma-2-27b,unknown_annotated
harborwater/open-llama-3b-v2-wizard-evol-instuct-v2-196k,openlm-research/open_llama_3b_v2,unknown_annotated
Hastagaras/Jamet-8B-L3-MK.V-Blackroot,Blackroot/Llama-3-8B-Abomination-LORA,unknown_annotated
herisan/llama-3-8b_mental_health_counseling_conversations,meta-llama/Meta-Llama-3-8B,unknown_annotated
HPAI-BSC/Llama3-Aloe-8B-Alpha,meta-llama/Meta-Llama-3-8B,unknown_annotated
HuggingFaceM4/idefics2-8b,HuggingFaceM4/idefics2-8b-base,unknown_annotated
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,unknown_annotated
ibivibiv/alpaca-dragon-72b-v1,abacusai/Smaug-72B-v0.1,unknown_annotated
IlyaGusev/gemma-2-9b-it-abliterated,google/gemma-2-9b-it,unknown_annotated
IlyaGusev/saiga_llama3_8b,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
IlyaGusev/saiga_nemo_12b,natong19/Mistral-Nemo-Instruct-2407-abliterated,unknown_annotated
InferenceIllusionist/SorcererLM-22B,rAIfle/SorcererLM-8x22b-bf16,unknown_annotated
intervitens/mini-magnum-12b-v1.1,mistralai/Mistral-Nemo-Base-2407,unknown_annotated
IntervitensInc/gemma-2-9b-chatml,google/gemma-2-9b,unknown_annotated
IntervitensInc/Llama-3.1-Minitron-4B-Width-Base-chatml,meta-llama/Llama-3.1-8B,unknown_annotated
IntervitensInc/Mistral-Nemo-Base-2407-chatml,mistralai/Mistral-Nemo-Base-2407,unknown_annotated
intfloat/e5-mistral-7b-instruct,mistralai/Mistral-7B-v0.1,unknown_annotated
intfloat/multilingual-e5-base,FacebookAI/xlm-roberta-base,unknown_annotated
intfloat/multilingual-e5-large,FacebookAI/xlm-roberta-large,unknown_annotated
intfloat/multilingual-e5-large-instruct,FacebookAI/xlm-roberta-large,unknown_annotated
intfloat/multilingual-e5-small,microsoft/Multilingual-MiniLM-L12-H384,unknown_annotated
invisietch/L3.1-EtherealRainbow-v1.0-rc1-8B,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
jeiku/Orthocopter_8B,Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-english,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-finnish,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-french,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-german,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-greek,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-italian,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-persian,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-polish,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-russian,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-large-xlsr-53-spanish,facebook/wav2vec2-large-xlsr-53,unknown_annotated
jonatasgrosman/wav2vec2-xls-r-1b-english,facebook/wav2vec2-xls-r-1b,unknown_annotated
jonatasgrosman/wav2vec2-xls-r-1b-german,facebook/wav2vec2-xls-r-1b,unknown_annotated
jonatasgrosman/wav2vec2-xls-r-1b-italian,facebook/wav2vec2-xls-r-1b,unknown_annotated
jonatasgrosman/wav2vec2-xls-r-1b-portuguese,facebook/wav2vec2-xls-r-1b,unknown_annotated
jonatasgrosman/wav2vec2-xls-r-1b-russian,facebook/wav2vec2-xls-r-1b,unknown_annotated
jonatasgrosman/whisper-large-zh-cv11,openai/whisper-large-v2,unknown_annotated
jondurbin/bagel-34b-v0.2,01-ai/Yi-34B-200K,unknown_annotated
jondurbin/bagel-dpo-7b-v0.4,mistralai/Mistral-7B-v0.1,unknown_annotated
jondurbin/bagel-dpo-8x7b-v0.2,mistralai/Mixtral-8x7B-v0.1,unknown_annotated
jpacifico/French-Alpaca-Llama3-8B-Instruct-v1.0,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Keynote-Technology/KAI-7B-v0.1,mistralai/Mistral-7B-v0.1,unknown_annotated
klue/bert-base,google-bert/bert-base-uncased,unknown_annotated
Laxhar/noobai-xl-EarlyAccess,OnomaAIResearch/Illustrious-xl-early-release-v0,unknown_annotated
LDCC/LDCC-SOLAR-10.7B,yanolja/KoSOLAR-10.7B-v0.1-deprecated,unknown_annotated
lemonilia/LimaRP-Mistral-7B-v0.1,mistralai/Mistral-7B-v0.1,unknown_annotated
LeoLM/leo-hessianai-7b,meta-llama/Llama-2-7b-hf,unknown_annotated
LeoLM/leo-mistral-hessianai-7b,mistralai/Mistral-7B-v0.1,unknown_annotated
LeoLM/leo-mistral-hessianai-7b-chat,LeoLM/leo-mistral-hessianai-7b,unknown_annotated
leveldevai/TurdusDareBeagle-7B,"udkai/Turdus,shadowml/DareBeagle-7B",unknown_annotated
llava-hf/llava-1.5-7b-hf,lmsys/vicuna-7b-v1.5,unknown_annotated
llm-jp/llm-jp-3-13b-instruct,llm-jp/llm-jp-3-13b,unknown_annotated
Locutusque/Apollo-0.4-Llama-3.1-8B,meta-llama/Llama-3.1-8B,unknown_annotated
Locutusque/Hyperion-1.5-Mistral-7B,mistralai/Mistral-7B-v0.1,unknown_annotated
Locutusque/Llama-3-Hercules-5.0-8B,meta-llama/Llama-3.1-8B,unknown_annotated
lodrick-the-lafted/Fuselage-8B,Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-10fail-1000total,unknown_annotated
lodrick-the-lafted/Limon-8B,lodrick-the-lafted/Olethros-8B,unknown_annotated
lucyknada/microsoft_WizardLM-2-7B,mistralai/Mistral-7B-v0.1,unknown_annotated
Lyte/Llama-3.2-3B-Overthinker,unsloth/llama-3.2-3b-instruct-bnb-4bit,unknown_annotated
macadeliccc/WestLake-7B-v2-laser-truthy-dpo,cognitivecomputations/WestLake-7B-v2-laser,unknown_annotated
maddes8cht/harborwater-open-llama-3b-v2-wizard-evol-instuct-v2-196k-gguf,harborwater/open-llama-3b-v2-wizard-evol-instuct-v2-196k,unknown_annotated
maldv/llama-3-fantasy-writer-8b,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
mattmdjaga/segformer_b2_clothes,nvidia/mit-b2,unknown_annotated
maximalists/BRAG-Llama-3.1-8b-v0.1,meta-llama/Llama-3.1-8B,unknown_annotated
MediaTek-Research/Breeze-7B-Base-v1_0,mistralai/Mistral-7B-v0.1,unknown_annotated
MediaTek-Research/Breeze-7B-Instruct-v1_0,MediaTek-Research/Breeze-7B-Base-v1_0,unknown_annotated
meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-chat,unknown_annotated
meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b,unknown_annotated
meta-llama/Llama-2-70b-hf,meta-llama/Llama-2-70b,unknown_annotated
meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat,unknown_annotated
meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b,unknown_annotated
meta-llama/Llama-3.2-11B-Vision-Instruct,meta-llama/Llama-3.2-11B-Vision-Instruct,unknown_annotated
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B,unknown_annotated
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B,unknown_annotated
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B,unknown_annotated
meta-math/MetaMath-Mistral-7B,mistralai/Mistral-7B-v0.1,unknown_annotated
microsoft/Orca-2-13b,meta-llama/Llama-2-13b-chat-hf,unknown_annotated
microsoft/Orca-2-7b,meta-llama/Llama-2-7b-chat-hf,unknown_annotated
microsoft/rad-dino,facebook/dinov2-base,unknown_annotated
microsoft/speecht5_tts,mechanicalsea/speecht5-tts,unknown_annotated
migtissera/Llama-3-8B-Synthia-v3.5,meta-llama/Meta-Llama-3-8B,unknown_annotated
migtissera/Tess-2.0-Llama-3-8B,meta-llama/Meta-Llama-3-8B,unknown_annotated
migtissera/Tess-34B-v1.4,01-ai/Yi-34B-200K,unknown_annotated
migtissera/Tess-72B-v1.5b,Qwen/Qwen-72B,unknown_annotated
mistral-community/Mixtral-8x22B-v0.1,mistralai/Mixtral-8x22B-v0.1,unknown_annotated
mistralai/Mistral-7B-Instruct-v0.2,mistral-community/Mistral-7B-v0.2,unknown_annotated
mistralai/Mistral-7B-v0.3,mistral-community/Mistral-7B-v0.2,unknown_annotated
mlabonne/Daredevil-8B-abliterated,mlabonne/Daredevil-8B,unknown_annotated
mlabonne/Marcoro14-7B-slerp,EmbeddedLLM/Mistral-7B-Merge-14-v0.1,unknown_annotated
mlabonne/NeuralDaredevil-8B-abliterated,mlabonne/Daredevil-8B-abliterated,unknown_annotated
mlx-community/Llama-3.2-1B-Instruct-8bit,meta-llama/Llama-3.2-1B-Instruct,unknown_annotated
mlx-community/Meta-Llama-3.1-8B-Instruct-4bit,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
moreh/MoMo-72B-lora-1.8.7-DPO,moreh/MoMo-72B-LoRA-V1.4,unknown_annotated
moreh/MoMo-72B-LoRA-V1.4,Qwen/Qwen-72B,unknown_annotated
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,microsoft/deberta-v3-base,unknown_annotated
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,microsoft/deberta-v3-large,unknown_annotated
MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli,nreimers/mMiniLMv2-L6-H384-distilled-from-XLMR-Large,unknown_annotated
mrm8488/deberta-v3-ft-financial-news-sentiment-analysis,microsoft/deberta-v3-small,unknown_annotated
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,distilbert/distilroberta-base,unknown_annotated
MSL7/INEX12-7b,yam-peleg/Experiment26-7B,unknown_annotated
MTSAIR/MultiVerse_70B,Qwen/Qwen-72B,unknown_annotated
natong19/Mistral-Nemo-Instruct-2407-abliterated,mistralai/Mistral-Nemo-Instruct-2407,unknown_annotated
neulab/codebert-python,microsoft/codebert-base-mlm,unknown_annotated
NeuML/pubmedbert-base-embeddings,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,unknown_annotated
NeverSleep/Llama-3-Lumimaid-8B-v0.1,meta-llama/Meta-Llama-3-8B,unknown_annotated
NeverSleep/Lumimaid-v0.2-12B,mistralai/Mistral-Nemo-Instruct-2407,unknown_annotated
NeverSleep/Lumimaid-v0.2-8B,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
Nexusflow/Starling-LM-7B-beta,openchat/openchat-3.5-0106,unknown_annotated
Nitral-AI/Hathor_Tahsin-L3-8B-v0.85,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Nitral-AI/Poppy_Porpoise-0.72-L3-8B,meta-llama/Meta-Llama-3-8B,unknown_annotated
nlptown/bert-base-multilingual-uncased-sentiment,google-bert/bert-base-multilingual-uncased,unknown_annotated
nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-bert-2048,unknown_annotated
nothingiisreal/L3-8B-Celeste-v1,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
nothingiisreal/L3-8B-Celeste-V1.2,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
nothingiisreal/L3.1-8B-Celeste-V1.5,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
nothingiisreal/MN-12B-Celeste-V1.9,mistralai/Mistral-Nemo-Instruct-2407,unknown_annotated
NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-3B,unknown_annotated
NousResearch/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,unknown_annotated
NousResearch/Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,unknown_annotated
NousResearch/Llama-3.2-1B,meta-llama/Llama-3.2-1B,unknown_annotated
NousResearch/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,unknown_annotated
NousResearch/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
NousResearch/Meta-Llama-3.1-8B,meta-llama/Llama-3.1-8B,unknown_annotated
NousResearch/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
NousResearch/Yarn-Mistral-7b-128k,mistralai/Mistral-7B-v0.1,unknown_annotated
nreimers/MiniLM-L6-H384-uncased,microsoft/MiniLM-L12-H384-uncased,unknown_annotated
nvidia/Llama-3.1-Minitron-4B-Width-Base,meta-llama/Llama-3.1-8B,unknown_annotated
nvidia/Llama3-ChatQA-1.5-8B,meta-llama/Meta-Llama-3-8B,unknown_annotated
nvidia/segformer-b1-finetuned-ade-512-512,nvidia/mit-b1,unknown_annotated
OEvortex/Emotional-llama-8B,meta-llama/Meta-Llama-3-8B,unknown_annotated
Open-Orca/Mistral-7B-OpenOrca,mistralai/Mistral-7B-v0.1,unknown_annotated
openchat/openchat_3.5,mistralai/Mistral-7B-v0.1,unknown_annotated
Orenguteng/Llama-3-8B-Lexi-Uncensored,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-V2,meta-llama/Llama-3.1-8B-Instruct,unknown_annotated
OwenArli/ArliAI-Llama-3-8B-Cumulus-v1.0,failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,unknown_annotated
patrickjohncyh/fashion-clip,laion/CLIP-ViT-B-32-laion2B-s34B-b79K,unknown_annotated
petals-team/StableBeluga2,stabilityai/StableBeluga2,unknown_annotated
PetroGPT/WestSeverus-7B-DPO-v2,FelixChao/WestSeverus-7B,unknown_annotated
princeton-nlp/Llama-3-Instruct-8B-SimPO,meta-llama/Meta-Llama-3-8B-Instruct,unknown_annotated
pysentimiento/robertuito-sentiment-analysis,pysentimiento/robertuito-base-uncased,unknown_annotated
qingy2024/Qwen2.5-Math-14B-Instruct-Preview,unsloth/qwen2.5-14b-instruct-bnb-4bit,unknown_annotated
Qwen/CodeQwen1.5-7B-Chat,Qwen/CodeQwen1.5-7B,unknown_annotated
Qwen/Qwen1.5-1.8B-Chat,Qwen/Qwen1.5-1.8B,unknown_annotated
Qwen/Qwen1.5-14B-Chat,Qwen/Qwen1.5-14B,unknown_annotated
Qwen/Qwen1.5-7B-Chat,Qwen/Qwen1.5-7B,unknown_annotated
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2-1.5B,unknown_annotated
refuelai/Llama-3-Refueled,meta-llama/Meta-Llama-3-8B,unknown_annotated
rizvandwiki/gender-classification,google/vit-base-patch16-224-in21k,unknown_annotated
rizvandwiki/gender-classification-2,google/vit-base-patch16-224-in21k,unknown_annotated
RLHFlow/LLaMA3-iterative-DPO-final,RLHFlow/LLaMA3-SFT,unknown_annotated
SamLowe/roberta-base-go_emotions,FacebookAI/roberta-base,unknown_annotated
SanjiWatsuki/Kunoichi-7B,SanjiWatsuki/Silicon-Maid-7B,unknown_annotated
SanjiWatsuki/Lelantos-DPO-7B,SanjiWatsuki/Lelantos-7B,unknown_annotated
Sao10K/Llama-3.1-8B-Stheno-v3.4,meta-llama/Llama-3.1-8B,unknown_annotated
Sao10K/MN-12B-Lyra-v3,Sao10K/MN-12B-Lyra-v2a1,unknown_annotated
Sao10K/MN-12B-Lyra-v4,Sao10K/MN-12B-Lyra-v4a1-Old,unknown_annotated
Sao10K/MN-12B-Lyra-v4a1-Old,Sao10K/MN-12B-Lyra-v3,unknown_annotated
saucam/Rudra-7b,google/gemma-7b,unknown_annotated
SciPhi/SciPhi-Mistral-7B-32k,mistralai/Mistral-7B-v0.1,unknown_annotated
SeaLLMs/SeaLLM-7B-v2,mistralai/Mistral-7B-v0.1,unknown_annotated
senseable/WestLake-7B-v2,mistralai/Mistral-7B-Instruct-v0.1,unknown_annotated
sentence-transformers/all-distilroberta-v1,distilbert/distilroberta-base,unknown_annotated
sentence-transformers/all-MiniLM-L12-v2,microsoft/MiniLM-L12-H384-uncased,unknown_annotated
sentence-transformers/all-MiniLM-L6-v2,nreimers/MiniLM-L6-H384-uncased,unknown_annotated
sentence-transformers/all-mpnet-base-v2,microsoft/mpnet-base,unknown_annotated
sentence-transformers/all-roberta-large-v1,FacebookAI/roberta-large,unknown_annotated
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,nreimers/MiniLM-L6-H384-uncased,unknown_annotated
shadowml/Marcoro14-7B-slerp,EmbeddedLLM/Mistral-7B-Merge-14-v0.1,unknown_annotated
shibing624/chatglm3-6b-csc-chinese-lora,THUDM/chatglm3-6b,unknown_annotated
